SKU	Date	OpenStock	CloseStock	Sales	HasRecord	ReceiptHour	PromoCode	PromoName	Price	ProductName
31054	2025-09-17	85	82	3	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-09-18	82	90	2	1	17:04	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-09-19	90	86	4	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-09-20	86	83	3	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-09-21	83	75	8	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-09-22	75	93	2	1	17:17	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-09-23	93	89	4	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-09-24	89	85	4	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-09-25	85	79	7	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-09-27	79	73	7	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-09-28	73	67	6	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-09-29	67	89	9	1	17:28	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-10-02	89	80	9	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-10-03	80	70	13	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-10-04	70	60	10	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-10-05	60	58	2	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-10-06	58	84	4	1	18:25	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-10-07	84	73	12	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-10-08	73	72	1	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-10-09	72	90	2	1	16:55	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-10-10	90	84	6	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-10-11	84	82	2	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-10-12	82	80	2	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-10-13	80	80	10	1	17:17	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-10-14	80	74	6	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-10-15	74	62	12	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-10-16	62	82	0	1	16:37	NULL	NULL	258017.326732673	Rice bran oil 1500g
31054	2025-10-17	82	81	1	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-10-18	81	77	4	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-10-19	77	73	4	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-10-20	73	81	2	1	17:26	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-10-22	81	74	8	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-10-23	74	72	2	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-10-24	72	60	12	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-10-25	60	56	4	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-10-26	56	44	12	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-10-27	44	76	8	1	17:21	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-10-28	76	74	2	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-10-29	74	68	6	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-10-31	68	60	8	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-11-01	60	58	2	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-11-03	58	76	12	1	17:14	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-11-04	76	75	1	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-11-05	75	68	7	1	NULL	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-11-06	68	85	3	1	17:10	-2533	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g	258017.326732673	Rice bran oil 1500g
31054	2025-11-07	85	84	1	1	NULL	-2533|49437	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g|HACHI KHUYẾN MÃI (7/11 - 20/11)	258017.326732673	Rice bran oil 1500g
31054	2025-11-08	84	76	8	1	NULL	-2533|49437	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g|HACHI KHUYẾN MÃI (7/11 - 20/11)	258017.326732673	Rice bran oil 1500g
31054	2025-11-09	76	68	8	1	NULL	-2533|49437	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g|HACHI KHUYẾN MÃI (7/11 - 20/11)	258017.326732673	Rice bran oil 1500g
31054	2025-11-10	68	85	3	1	17:00	-2533|49437	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g|HACHI KHUYẾN MÃI (7/11 - 20/11)	258017.326732673	Rice bran oil 1500g
31054	2025-11-11	85	84	1	1	NULL	-2533|49437	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g|HACHI KHUYẾN MÃI (7/11 - 20/11)	258017.326732673	Rice bran oil 1500g
31054	2025-11-12	84	76	8	1	NULL	-2533|49437	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g|HACHI KHUYẾN MÃI (7/11 - 20/11)	258017.326732673	Rice bran oil 1500g
31054	2025-11-13	76	82	4	1	17:05	-2533|49437	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g|HACHI KHUYẾN MÃI (7/11 - 20/11)	258017.326732673	Rice bran oil 1500g
31054	2025-11-14	82	76	6	1	NULL	-2533|49437	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g|HACHI KHUYẾN MÃI (7/11 - 20/11)	258017.326732673	Rice bran oil 1500g
31054	2025-11-15	76	68	8	1	NULL	-2533|49437	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g|HACHI KHUYẾN MÃI (7/11 - 20/11)	258017.326732673	Rice bran oil 1500g
31054	2025-11-16	68	62	6	1	NULL	-2533|49437	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g|HACHI KHUYẾN MÃI (7/11 - 20/11)	258017.326732673	Rice bran oil 1500g
31054	2025-11-17	62	87	5	1	17:16	-2533|49437	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g|HACHI KHUYẾN MÃI (7/11 - 20/11)	258017.326732673	Rice bran oil 1500g
31054	2025-11-18	87	83	4	1	NULL	-2533|49437	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g|HACHI KHUYẾN MÃI (7/11 - 20/11)	258017.326732673	Rice bran oil 1500g
31054	2025-11-19	83	69	14	1	NULL	-2533|49437	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g|HACHI KHUYẾN MÃI (7/11 - 20/11)	258017.326732673	Rice bran oil 1500g
31054	2025-11-20	69	82	11	1	18:01	-2533|49437	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g|HACHI KHUYẾN MÃI (7/11 - 20/11)	258017.326732673	Rice bran oil 1500g
31054	2025-11-21	82	66	24	1	NULL	-2533|-2994|-3017|-3018	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g|Combo siêu hời mua Chảo chống dính cao cấp Nhật Bản Hokuriku 20cm Plateado tặng Dầu gạo Nhật Bản Tsuno nguyên chất 1500g (1636ml)|Combo siêu hời mua Chảo chống dính cao cấp Nhật Bản Hokuriku 26cm Plateado tặng Dầu gạo Nhật Bản Tsuno nguyên chất 1500g (1636ml)|Combo siêu tiết kiệm 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g (1636ml) tặng Giấy thấm dầu nấu ăn 45 tờ 22x20.8cm	258017.326732673	Rice bran oil 1500g
31054	2025-11-22	66	50	16	1	NULL	-2533|-2994|-3017|-3018	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g|Combo siêu hời mua Chảo chống dính cao cấp Nhật Bản Hokuriku 20cm Plateado tặng Dầu gạo Nhật Bản Tsuno nguyên chất 1500g (1636ml)|Combo siêu hời mua Chảo chống dính cao cấp Nhật Bản Hokuriku 26cm Plateado tặng Dầu gạo Nhật Bản Tsuno nguyên chất 1500g (1636ml)|Combo siêu tiết kiệm 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g (1636ml) tặng Giấy thấm dầu nấu ăn 45 tờ 22x20.8cm	258017.326732673	Rice bran oil 1500g
31054	2025-11-24	50	42	8	1	NULL	-2533|-2994|-3017|-3018	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g|Combo siêu hời mua Chảo chống dính cao cấp Nhật Bản Hokuriku 20cm Plateado tặng Dầu gạo Nhật Bản Tsuno nguyên chất 1500g (1636ml)|Combo siêu hời mua Chảo chống dính cao cấp Nhật Bản Hokuriku 26cm Plateado tặng Dầu gạo Nhật Bản Tsuno nguyên chất 1500g (1636ml)|Combo siêu tiết kiệm 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g (1636ml) tặng Giấy thấm dầu nấu ăn 45 tờ 22x20.8cm	258017.326732673	Rice bran oil 1500g
31054	2025-11-25	42	78	14	1	07:10	-2533|-2994|-3017|-3018	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g|Combo siêu hời mua Chảo chống dính cao cấp Nhật Bản Hokuriku 20cm Plateado tặng Dầu gạo Nhật Bản Tsuno nguyên chất 1500g (1636ml)|Combo siêu hời mua Chảo chống dính cao cấp Nhật Bản Hokuriku 26cm Plateado tặng Dầu gạo Nhật Bản Tsuno nguyên chất 1500g (1636ml)|Combo siêu tiết kiệm 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g (1636ml) tặng Giấy thấm dầu nấu ăn 45 tờ 22x20.8cm	258017.326732673	Rice bran oil 1500g
31054	2025-11-26	78	49	29	1	NULL	-2533|-2994|-3017|-3018	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g|Combo siêu hời mua Chảo chống dính cao cấp Nhật Bản Hokuriku 20cm Plateado tặng Dầu gạo Nhật Bản Tsuno nguyên chất 1500g (1636ml)|Combo siêu hời mua Chảo chống dính cao cấp Nhật Bản Hokuriku 26cm Plateado tặng Dầu gạo Nhật Bản Tsuno nguyên chất 1500g (1636ml)|Combo siêu tiết kiệm 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g (1636ml) tặng Giấy thấm dầu nấu ăn 45 tờ 22x20.8cm	258017.326732673	Rice bran oil 1500g
31054	2025-11-27	49	38	11	1	NULL	-2533|-2994|-3017|-3018	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g|Combo siêu hời mua Chảo chống dính cao cấp Nhật Bản Hokuriku 20cm Plateado tặng Dầu gạo Nhật Bản Tsuno nguyên chất 1500g (1636ml)|Combo siêu hời mua Chảo chống dính cao cấp Nhật Bản Hokuriku 26cm Plateado tặng Dầu gạo Nhật Bản Tsuno nguyên chất 1500g (1636ml)|Combo siêu tiết kiệm 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g (1636ml) tặng Giấy thấm dầu nấu ăn 45 tờ 22x20.8cm	258017.326732673	Rice bran oil 1500g
31054	2025-11-28	38	98	42	1	14:26	-2533|-3491|-3495|-3510|-3511	Combo 2 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g|Combo siêu hời mua Chảo chống dính cao cấp Nhật Bản Hokuriku 20cm Plateado tặng Dầu gạo Nhật Bản Tsuno nguyên chất 1500g (1636ml)|Combo siêu hời mua Chảo chống dính cao cấp Nhật Bản Hokuriku 26cm Plateado tặng Dầu gạo Nhật Bản Tsuno nguyên chất 1500g (1636ml)|Combo siêu hời mua Chảo chống dính Puntec 26cm Sâu lòng tặng Dầu gạo Tsuno 1500g|Combo siêu tiết kiệm 3 chai Dầu gạo Nhật Bản Tsuno nguyên chất 1500g (1636ml)	258017.326732673	Rice bran oil 1500g
