Barcode,ProductName,TongBan,TrongTop100
4979369452019,019 [GIÁ TỐT] Nước tương đậu nành Shoyu Yamagen vị đậm đà 1L,569,
8936013256429,429 Sáp thơm đuổi muỗi Oasis Relaxing Purple 180g (Lavender),569,
4979369243006,006 Nước tương đậu nành Shoyu Yamagen vị thanh dịu 500ml,564,
8888077102023,023 Bánh Hello Panda nhân Socola 40g,564,
4984324014522,"522 Bột tẩy lồng máy giặt khử mùi, chống nấm mốc chiết xuất trà xanh 100g",555,
8936013256412,412 Sáp thơm đuổi muỗi Oasis Pink Blossom 180g (Hoa hồng),555,
8938511728316,316 Khẩu trang Y tế Kim Sora KS94 4D 3 lớp (10 cái - Xám),552,
4978951060687,687 Nước giặt chống khuẩn khử mùi Mitsuei 1.65kg Hương hoa trái (Túi refill),550,
8934755042218,218 Khẩu trang 3D Unicharm Mask Kids Cho bé (3 cái),546,
4978446502517,"517 Túi lọc trà, cà phê 90 túi",542,
A968123625806,806 Serum vàng tinh chất nhau thai trắng da White Label 10ml,541,
4986614241014,014 Miếng dán chống trầy xước mặt sàn 18 miếng,540,
8938501349590,590 Sữa chua sấy thăng hoa Yumi 30g (10gx3gói),539,
4983435764166,166 Tăm chỉ kẽ răng Okamura 110 cái,533,
8851639001539,539 Bột làm bánh Takoyaki Okonomiyaki Mix powder 400g,531,
8938511728118,118 Khẩu trang y tế trẻ em Kim Sora 3 lớp (50 cái - Trắng),528,
A934755014321,321 Băng vệ sinh hàng ngày mát lạnh Diana Sensi Cool Fresh 15.5cm 40 miếng,526,
8934681271652,652 Gel giặt Attack sạch sâu thanh mềm Hương giấc mơ hoa anh đào túi 3.5kg,518,
4991203168610,610 Kéo làm bếp Echo Metal kèm nắp 15.7cm,511,
4991203173140,140 Dao bào rau củ (Nhiều mẫu),511,
8888077102092,092 Bánh Hello Panda nhân kem dâu 40g,509,
8888339023066,066 Rong biển khô tẩm gia vị (6.75g),507,
4978574102733,733 Gia vị rắc cơm cá ngừ bào Marumiya 100g,506,
4978498003017,017 Bánh ngọt Maruto Castella 260g,505,
8938508147069,069 Canh rong biển 55g (5.5gx10 gói),505,
8936017790011,011 Gia vị nấu ăn Hon Mirin Umami 880ml,504,
4991203182333,333 Muỗng inox Echo Metal 20.6cm,503,
4982790409941,941 Túi đựng vật dụng 16x12cm (Nhiều mẫu),500,
8936013251097,"097 Nước xả vải Gift Mộng Mơ lưu hương bền lâu túi 3,2kg",500,
8888300281006,006 Bọt rửa tay Kirei Kirei 250ml (Chanh),499,
8994504124329,329 Bánh que Lucky Stick Strawberry Meiji 45g,496,
4983435714208,208 Bàn chải đánh răng than hoạt tính kháng khuẩn Okamura type D,494,
8935142700568,568 Gạo làm sushi Nhật Bản 5kg,492,
4979369147007,007 [GIÁ TỐT] Miso dashi rau củ trộn sẵn giảm muối Yamagen 300g,489,
8938501349613,613 Sữa chua sấy thăng hoa vị dâu Yumi 30g (10gx3gói),489,
8888077101125,125 Bánh Yan Yan dâu Meiji 50g,487,
4991203150325,325 Muỗng inox Echo Metal 17cm,486,
4978446005612,612 Mành tre cuốn Sushi Maruki 24x21cm,482,
8938503008440,440 Tăm bông kháng khuẩn đầu xoắn Ohayo 200 que,482,
4991203146786,786 Muỗng inox Echo Metal 19.5cm,481,
B903111424283,283 Bông tẩy trang Silcot Premium 66 miếng,480,
4986614230971,971 Bông tắm tạo bọt (Nhiều mẫu),479,
4991203101396,396 Lưới lọc rác bồn rửa chén 7cm,479,
4978323111160,160 Bánh bông lan Marukin Family cake 288g (16 cái),477,
4986614223621,"621 Mút rửa chén Nhật Bản kháng khuẩn, tạo bọt Okazaki 10 cái (Loại cứng)",477,
8888300281051,051 Bọt rửa tay Kirei Kirei hồng 250ml (Đào),476,
4982790388604,604 Bàn chải chà toilet,474,
4983239022288,288 Nước vệ sinh lồng máy giặt Elmie 350g (ELW-992),474,
A936142960068,068 [GIÁ TỐT] Khẩu trang chống bụi và vi khuẩn 55 cái màu xanh,470,
8938502012011,011 Bả diệt gián Umaka hộp 3 viên,469,
4991203139641,641 Vá inox vớt bọt Echo Metal 8.5x21cm,465,
8938501349859,859 Súp cua Asuzac 24g (8gx3gói),464,
8938554193003,"003 TPBS: Bột mầm lúa mạch non Nhật Bản Kenkogen trái cây lợi khuẩn, chất xơ, Omega 3 Canxi D 10 gói",464,
8997240600942,942 TPBS: Sữa yến mạch vị socola lúa mạch Oatside 180ml,458,
4978446007364,364 Đũa bếp nấu ăn 33-39cm (2 đôi),457,
4991099007437,437 Cây lau kính 23cm,457,
4983435754198,198 Dụng cụ cạo lưỡi 5 cái,452,
4991203171740,740 Hũ thủy tinh 1L (Nhiều mẫu),452,
4978323701156,156 Bánh Baumkuchen cắt lát Marukin 10 cái,451,
4987176062642,642 Viên giặt xả Gel Ball 4D P&G Bold 31 viên (Hương nắng mai),447,
4991203178794,794 Hũ thủy tinh đựng gia vị Echo Metal 80ml vỏ bọc inox,447,
A934755010385,385 Băng vệ sinh dạng quần chống tràn ban đêm Diana S-M 2 cái,440,
4979369507306,306 Sốt Teriyaki Nhật Bản Kenkogen 350g,439,
4987176062482,482 Viên giặt xả Gel Ball 4D P&G Bold 31 viên (Hương hoa),439,
A938501349118,118 Cháo gà Asuzac (36g),430,
4982790479050,050 Bao tay dùng 1 lần 100 cái Free size,429,
A938501349262,262 Cháo nấm Asuzac (36g),428,
4978446017271,271 DCXR - Tăm chỉ nha khoa 50 cây,427,
A938501349132,132 Cháo cá Asuzac (36g),426,
8936142960099,099 Khẩu trang chống bụi và vi khuẩn cho trẻ em 10 cái,417,
8935302600745,745 Bánh tôm kiểu Nhật 216g,416,
8935302600820,820 Okonomiyaki - Bánh xèo kiểu Nhật bò Wagyu & phô mai Hokkaido 250g,414,
8936013251127,"127 Nước xả vải Gift Lãng Mạn lưu hương bền lâu túi 3,2kg",414,
8936142960143,143 Khẩu trang Y Tế Face Mask 4 lớp than hoạt tính (55 cái),414,
A936142960143,143 Khẩu trang hộp 55 cái than hoạt tính,412,
4978498002300,300 Bánh ngọt Maruto Cheese 210g,411,
8888077101200,200 Bánh Yan Yan vani Meiji 50g,411,
8936019920584,584 Lẩu Osechi Nhật Bản (450g),411,
9556155220035,035 Nước lau sàn hương Lavender Magiclean 2L,409,
4991203145383,383 Xẻng nhỏ làm vườn Echo Metal 24.5cm,408,
4977821327608,608 Kẹo sữa caramen Miyata 273g,406,
4995860515145,145 Viên giặt đậm đặc Welco 52 viên,404,
8936143480480,480 Bột cần tây sấy lạnh Jan's powder 60g (3g x 20 gói),404,
B903111455546,546 Bông tẩy trang Silcot 82 miếng (66x50mm),404,
4991203150400,400 Hộp inox đựng thực phẩm Echo Metal 10x10cm,400,
8935302600813,813 Okonomiyaki - Bánh xèo kiểu Nhật hải sản & phô mai Hokkaido 250g,399,
8935302600356,356 Phô mai que thượng hạng 200g (10 cái),398,
8938534632959,959 Mơ mật ong Misaki 200g,398,
8938503008426,426 Tăm bông kháng khuẩn Ohayo Baby xoắn 180 que,393,
4991203159007,007 Cọ quét dầu ăn 18cm (Nhiều mẫu),392,
A938501349125,125 Cháo thịt Asuzac (36g),390,
4979369327003,003 Nước tương nấm Shiitake tảo bẹ giảm muối Yamagen 150ml,389,
8936142960068,068 Khẩu trang Y Tế Face Mask 3 lớp (55 cái - Xanh),388,
8888077108032,032 Bánh Hello Panda nhân kem sữa 40g,384,
8935142700070,070 Gạo Fuji Sakura 2kg,384,
4982790393844,"844 Mút rửa chén Cellulose tạo bọt, thân thiện môi trường Seiwapro",383,
8936142960013,013 Khẩu trang bịch 7 cái màu xanh,381,
A934755021077,077 Băng vệ sinh siêu mỏng mát lạnh có cánh Sofy Cooling Fresh 23cm 8 miếng,378,
A903111370955,955 Băng vệ sinh Tampon mềm mại siêu thấm Sofy 9 cái,375,
8851123237062,062 TPBS: Nước lựu Vitamin C C-Vitt 140ml,374,
8938534632966,966 Mơ tía tô Misaki 200g,374,
4979369327508,508 Nước tương Sushi & Sashimi Kenkogen 150ml,371,
4993089050058,058 Thịt chay từ đậu nành Nichireto 100g,370,
4991203150301,301 Muỗng inox Echo Metal 17.5cm,369,
8936019920096,096 Thanh surimi hương vị cua (500g),369,
4978323900054,054 Bánh Marukin Baumkuchen (310g),368,
4993199952709,709 Nước ép táo Fuji Nhật Bản Marukai 1L,368,
8936019920089,089 Thanh surimi hương vị cua (250g),368,
4982494311519,519 Đũa tập ăn cho bé 16.5cm,362,
4987205041143,143 Kem nhuộm tóc phủ bạc Bigen Speedy Color Cream 4NA Màu Nâu,362,
4991203189561,561 Bình đựng dầu ăn 180ml,362,
8938511728415,"415 Khẩu trang y tế Kim Sora 5D siêu thoáng mát chống bụi, virus 3 lớp 7 cái (Nhiều mẫu)",360,
4982790408784,784 Bộ dụng cụ làm móng du lịch,359,
4983435764159,159 Tăm chỉ nha khoa 40 cây,359,
4991203176189,189 Dao bào sợi rau củ,359,
8938501349507,507 Súp cua Asuzac 8g,358,
8938505346151,151 Nước tẩy rửa đường ống đậm đặc Smile Choice 1L,358,
8935302600868,868 Cơm phô mai đút lò kiểu Nhật gà chiên giòn Karaage & phô mai Hokkaido 220g,357,
8935006538849,849 Lăn khử mùi trà xanh Natural Green Tea Refre Kuromi 40ml,356,
8888300281099,099 Dung dịch rửa tay Kirei Kirei hương nho 200ml (Dạng bọt - Túi refill),354,
8936028610056,056 Gạo Nhật Koshi Hikari Japonica túi 2.5kg,353,
4978522030514,514 Bánh Baumkuchen mini  vị sữa 190g (9 cái),352,
A934755042331,331 Khẩu trang Unicharm UV Mask 3D 5 cái (5 cái - Hồng),350,
A968123686203,203 Kem dưỡng da đậm đặc Placenta trắng mịn 60g,350,
8935302600875,875 Cơm phô mai đút lò kiểu Nhật bò Wagyu & phô mai Hokkaido 220g,349,
4987072066447,447 Nước giặt đồ lót Kobayashi Lingerie Soap 120ml,347,
4991203164612,612 Dụng cụ lọc trà Echo Metal 7cm,347,
4983435718800,800 Bàn chải đánh răng lông siêu mảnh Okamura,345,
4991203171757,757 Hũ thủy tinh 1L (Nhiều mẫu),344,
4978951060908,908 Bột tẩy trắng đa năng Herbal powder 500g,342,
4979369155002,002 Miso dashi tảo bẹ nấu canh ăn liền Yamagen 330g,342,
4991203170545,545 Giá để cuộn khăn giấy nhà bếp 12.5x26cm,341,
8938501349606,606 Sữa chua sấy thăng hoa vị chuối Yumi 30g  (10gx3gói),341,
4987176140272,272 Viên giặt xả Gel Ball 4D P&G Bold 24 viên Hương nắng mai,340,
4991203134233,233 Vòi nước Echo Metal 2 chế độ chảy (đk 1.6~1.9cm),340,
8938504593259,"259 Khăn giấy nén Nikkori 50 cái (viên 2cm, khăn 22x24cm)",337,
8938505346229,229 Nước lau sàn gốc thực vật diệt khuẩn Kenko Clean hương Lavender 1L,336,
4986614200646,646 Miếng chùi nồi chảo 2 cái,334,
8935029251015,015 Cồn thực phẩm Smartsan 5L (Food Grade Alcohol Sanitizer S-4),333,
4986614231831,831 Khăn vải cotton 23x23cm,332,
8938511728279,279 Khẩu trang Y tế Kim Sora KS94 4D 4 lớp (10 cái - Hồng),332,
8938504593297,297 Khăn tắm nén Nikkori Asahi 65cm x 120cm,331,
4991203126290,290 Bàn chải chà vật dụng nhà bếp mini 3 loại (3 cái),329,
4987176140173,173 Viên giặt xả Gel Ball 4D P&G Bold 24 viên Hương hoa,327,
8935302600226,226 Gyoza - Bánh xếp kiểu Nhật - Tôm rau củ 250g (10 cái),326,
4979369255504,504 Nước tương Dashi nấm hương tảo bẹ Yamagen 150ml,325,
8935142700186,186 Gạo làm sushi Nhật Bản 1kg,324,
G0000210,210 Quà tặng theo bill 600K-Lịch để bàn 2026,324,
4978446982371,371 Tấm nhôm chắn dầu chống bẩn tường bếp 84x32.5 cm,323,
4991203162205,205 Lồng bàn Echo Metal 42x42cm,322,
4978446033431,431 Ống hút nhựa 100 cái,320,
4982790389533,533 Tấm lót bàn ăn 30x45cm,320,
4982790413511,511 Bàn chải đánh răng lông siêu mềm mịn (Nhiều mẫu),320,
8938503008433,433 Tăm bông kháng khuẩn đầu tròn Ohayo 200 que,320,
8888300281242,242 Bọt rửa tay Kirei Kirei hương dâu tằm 250ml,318,
8938505346144,144 Nước tẩy lồng máy giặt Mitsuei Smile Choice 550g,317,
4991203174420,420 Bình nước nhựa 500ml (Nhiều mẫu),315,
8851818969414,414 Băng vệ sinh hàng ngày Laurier Active Fit phân tử bạc 36 miếng,314,
C971493201198,198 Trà diếp cá Orihiro (3gx60gói),314,
4982494333498,498 Hộp nhựa đựng thực phẩm 700ml (Nhiều mẫu),313,
4987696560482,482 Dung dịch rửa tay Saraya Foaming Hand Soap (Green Apple) 5kg,313,
4991203152541,541 Kéo làm vườn Echo Metal 17cm,313,
4992440034713,713 Mặt nạ cám gạo dưỡng sáng giảm thâm sạm Keana Rice Mask 10 miếng,313,
4982790442917,"917 Tấm lót tủ quần áo, ngăn kéo kháng khuẩn, khử mùi 40x180cm (Nhiều mẫu)",310,
4987205041136,136 Kem nhuộm tóc phủ bạc Bigen Speedy Color Cream 3 Nâu nhạt,310,
4991203169143,143 Phễu inox 5cm,310,
4982790296619,619 Áo mưa cài nút size L,309,
4991203182364,364 Nĩa inox Echo Metal 16.1cm,309,
4982790432932,"932 Bao tay tắm tẩy tế bào chết, tạo bọt mịn 1 cặp (Nhiều mẫu)",307,
8936185351823,823 Nước cocktail Chill Sakura vị vải sake 250ml,306,
4979369507009,009 Sốt Tare Kabayaki  350g,305,
4982790296602,602 Áo mưa cài nút size XL 120cm,304,
8850002035140,140 Dung dịch rửa tay Kirei Kirei hương hoa Anh Thảo 200ml,302,
4991203157010,010 Cây lăn bụi kèm hộp đựng (Nhiều mẫu),301,
4979369030231,231 Nước tương chấm Sashimi Yamagen 150ml,300,
4991203164018,018 Dụng cụ hỗ trợ mang giày 58cm,300,
B979369050130,130 Nước tương Tsuyu ăn mì Yamagen 300ml,300,
G0000078,078 Quà tặng theo bill 600K - Lịch để bàn 2025,300,
4978446492009,009 Tăm xỉa răng 650 cây,299,
8938503008419,419 Tăm bông kháng khuẩn Ohayo Baby 180 que,299,
4978574101149,149 Gia vị rắc cơm vị mù tạt Wasabi Marumiya 100g,298,
4979769180154,154 Bột trà xanh Matcha Uji Yanoen 500g,294,
A901001194186,186 Bột ngọt Ajinomoto 1kg,294,
4978323043539,539 Bánh Marukin vị phomai cắt lát (9 cái),293,
4991099008755,755 Miếng lót giày cho nữ 22~24.5cm (Nhiều mẫu),291,
8888077102108,108 Bánh Hello Panda Double Choco Meiji 43g,288,
4979769180543,543 Bột trà xanh Funmatsucha Yanoen 500g,286,
8888339047000,"000 Rong biển khô cuộn sushi - Yaki Aka (27g, 10 lá)",286,
4991203172471,471 Lọ chiết mỹ phẩm 100ml Nắp bật,285,
4991203148889,889 Sạn nấu ăn chịu nhiệt Nhật Bản Echo Metal 9x29cm,284,
8936185352233,233 Nước cocktail Chill Sakura vị cam yuzu sake 250ml,282,
8936013251059,"059 Nước giặt Gift Nắng Xuân Nano bạc kháng khuẩn khử mùi 3,5kg",281,
4977821327615,615 Kẹo cà phê caramen Miyata 273g,280,
G0000241,241 Quà tặng theo bill 600K-Thạch rau câu Ribon 128g (8 cái),280,
4984324013815,"815 Viên sủi thông tắc chống khuẩn khử mùi cống, ống xả, bồn rửa, bồn cầu 4gx8 Hương cam",279,
4991203144546,546 Kéo cắt cành 18.5cm,279,
4987176140326,326 Viên giặt xả Gel Ball 4D P&G Bold 55 viên Hương nắng mai,278,
8936185351816,816 Nước cocktail Chill Sakura vị dưa hấu sake 250ml,278,
4991203154187,187 Rổ có móc treo 17x10cm (Trắng),277,
4987176264732,732 Viên giặt xả khử mùi chống nhăn 4D Gel Ball Bold P&G hương hoa 31 viên,274,
C971493201822,822 Trà ổi Orihiro 120g (2g x 20 gói x 3 túi),274,
8936013256436,436 Sáp thơm đuổi muỗi Oasis Sparkling yellow hương chanh tây 180g,273,
4991203161796,796 Rổ có móc treo 10x10cm,272,
8936061260331,331 Bia Sapporo Premium 650ml,272,
4982790442375,375 Túi hút chân không đựng quần áo 45x70cm,271,
4993199100926,926 Nước ép đào Nhật Bản Marukai 180ml,271,
4991099011106,106 Cây gạt lấy vết bẩn nhà tắm,270,
4991203168283,283 Vòi nước Echo Metal 2 chế độ chảy (Có thể xoay vòi),269,
A513574014152,152 Dầu gội Salon Link Extra 1L,268,
A938501349507,507 Súp cua Asuzac (Sản phẩm sấy thăng hoa) 8g,268,
4991203145925,925 Kẹp gắp thức ăn 22cm,262,
8938505346342,342 Nước rửa chén đậm đặc gốc thực vật diệt khuẩn Kenko Clean hương chanh & trà xanh 800ml,261,
4987072032640,"640 Khăn lau kính chống sương mù, hơi nước 10x13.3cm 20 cái",260,
A903024021814,814 Bột nêm chiết xuất thịt & rau củ Youki 500g,260,
4987176140197,197 Viên giặt xả Gel Ball 4D P&G Bold 55 viên Hương hoa,259,
4984831052888,888 Gel khử mùi chống khuẩn bồn cầu 36g (Nhiều mẫu),258,
4986614225847,"847 Cây chùi rửa bình, ly tách 25.5cm chống khuẩn",258,
4991203171023,023 Đế lót chậu cây 18cm (Nhiều mẫu),258,
4980523096079,079 Bột trà rang Houjicha Nhật Bản Kanes 50g,257,
8936025624964,964 Kẹo Socola Milk Meiji hộp trái tim 82g (41g x 2 hộp),256,
4987332142096,096 Muối tắm Goshu Meito Hakone 25g,254,
4978498006346,346 Bánh Castella vị chuối Maruto 165g,253,
4991203157973,973 Xẻng nhỏ làm vườn Echo Metal 23cm,253,
4978323043591,591 Bánh Baumkuchen trà xanh matcha Marukin 200g (8 cái),250,
4991203108753,753 Vá múc canh chịu nhiệt Nhật Bản Echo Metal 6.3x20cm,250,
4993089050065,065 Thịt chay từ đậu nành Nichireto 100g,248,
4991203120397,397 Vá inox Echo Metal múc miso 19cm,246,
A903111314171,171 Băng vệ sinh Sofy Sports cánh 26cm 19 miếng,246,
4986614207133,133 Bộ cây chùi rửa vòi rót nước 4 cây,245,
4991203188106,106 Hộp đựng tăm 4.2x8.4cm (Nhiều mẫu),245,
4983239160492,492 Nước giặt đồ lót Elmie dạng bọt dành cho phụ nữ 200ml (ELDW-701),244,
